"orden_recomendado","ticker","score","precio_actual","tendencia_corta","tendencia_media","tendencia_larga","rsi","acciones_recomendadas","inversion_total","potencial_ganancia","razones","riesgo","tiempo_recomendado_hold"
"65","HSBC","105","59.34","ALCISTA","ALCISTA","ALCISTA","65.15","168","9969.12","1993.82","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (65.1)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (1.1x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"66","MSFT","100","452.57","ALCISTA","ALCISTA","ALCISTA","71.23","22","9956.54","1493.48","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en sobrecompra (71.2), precaución
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","MEDIO"
"67","GOOGL","100","168.56","ALCISTA","ALCISTA","BAJISTA","59.46","59","9945.04","1491.76","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (59.5)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen fuerte (1.6x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"68","NFLX","100","1194.63","ALCISTA","ALCISTA","ALCISTA","71.58","8","9557.04","1433.56","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en sobrecompra (71.6), precaución
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","MEDIO"
"69","KO","100","71.85","ALCISTA","ALCISTA","ALCISTA","53.65","139","9987.15","1997.43","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (53.6)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum negativo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"70","GE","100","233.54","ALCISTA","ALCISTA","ALCISTA","77.65","42","9808.68","1471.3","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en sobrecompra (77.7), precaución
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","MEDIO"
"71","T","100","27.47","ALCISTA","ALCISTA","ALCISTA","51.51","364","9999.08","1999.82","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (51.5)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.6x promedio)
Stochastic en zona neutral
Momentum negativo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"72","AVGO","100","229.73","ALCISTA","ALCISTA","ALCISTA","70.03","43","9878.39","1481.76","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en sobrecompra (70.0), precaución
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.9x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","MEDIO"
"73","NOW","100","1014.76","ALCISTA","ALCISTA","ALCISTA","63.94","9","9132.84","1826.57","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (63.9)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"74","NET","100","156.52","ALCISTA","ALCISTA","ALCISTA","76.11","63","9860.76","1479.11","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en sobrecompra (76.1), precaución
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","MEDIO"
"75","ZS","100","248.72","ALCISTA","ALCISTA","ALCISTA","71.68","40","9948.8","1492.32","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en sobrecompra (71.7), precaución
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (1.0x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","MEDIO"
"76","PLTR","100","120.58","ALCISTA","ALCISTA","ALCISTA","56.06","82","9887.56","1977.51","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (56.1)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"77","RBLX","100","81.16","ALCISTA","ALCISTA","ALCISTA","77.11","123","9982.68","1497.4","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en sobrecompra (77.1), precaución
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.6x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","MEDIO"
"78","MELI","100","2601.97","ALCISTA","ALCISTA","ALCISTA","76.06","3","7805.91","1170.89","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en sobrecompra (76.1), precaución
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","MEDIO"
"79","SAN","100","7.92","ALCISTA","ALCISTA","ALCISTA","72.99","1262","9995.04","1499.26","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en sobrecompra (73.0), precaución
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","MEDIO"
"80","BSBR","100","5.26","ALCISTA","ALCISTA","ALCISTA","57.29","1901","9999.26","1999.85","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (57.3)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (1.0x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"81","ABT","100","133.05","ALCISTA","ALCISTA","ALCISTA","53.85","75","9978.75","1995.75","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (53.8)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (1.1x promedio)
Stochastic en zona neutral
Momentum negativo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"82","IWM","100","203.21","ALCISTA","ALCISTA","BAJISTA","53.34","49","9957.29","1493.59","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (53.3)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen moderado (1.4x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"83","PYPL","95","71.65","ALCISTA","ALCISTA","BAJISTA","61.02","139","9959.35","1493.9","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (61.0)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"84","AMD","95","112.06","ALCISTA","ALCISTA","BAJISTA","60.68","89","9973.34","1496.0","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (60.7)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (1.0x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"85","ORCL","95","157.18","ALCISTA","ALCISTA","BAJISTA","59.73","63","9902.34","1485.35","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (59.7)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.6x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"86","CRM","95","282.28","ALCISTA","ALCISTA","BAJISTA","55.24","35","9879.8","1481.97","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (55.2)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (1.1x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"87","MCD","95","316.44","ALCISTA","ALCISTA","ALCISTA","53.0","31","9809.64","1961.93","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (53.0)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en sobrecompra, posible corrección
Momentum negativo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"88","VZ","95","43.75","ALCISTA","ALCISTA","ALCISTA","52.47","228","9975.0","1995.0","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (52.5)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.6x promedio)
Stochastic en sobrecompra, posible corrección
Momentum negativo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"89","BHP","95","49.34","ALCISTA","ALCISTA","BAJISTA","53.22","202","9966.68","1495.0","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (53.2)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"90","AMAT","95","162.23","ALCISTA","ALCISTA","BAJISTA","55.07","61","9896.03","1484.4","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (55.1)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"91","ETSY","95","46.49","ALCISTA","ALCISTA","BAJISTA","51.65","215","9995.35","1499.3","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (51.6)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.6x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"92","SPOT","95","643.0","ALCISTA","ALCISTA","ALCISTA","55.92","15","9645.0","1929.0","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (55.9)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en sobrecompra, posible corrección
Momentum negativo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"93","DDOG","95","113.69","ALCISTA","ALCISTA","BAJISTA","60.15","87","9891.03","1483.65","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (60.2)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"94","FSLY","95","7.3","ALCISTA","ALCISTA","BAJISTA","56.54","1369","9993.7","1499.06","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (56.5)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"95","MDB","95","185.01","ALCISTA","ALCISTA","BAJISTA","53.69","54","9990.54","1498.58","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (53.7)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"96","GGB","95","2.73","ALCISTA","ALCISTA","BAJISTA","53.55","3663","9999.99","1500.0","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (53.6)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"97","DAL","95","48.27","ALCISTA","ALCISTA","BAJISTA","54.12","207","9991.89","1498.78","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (54.1)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.6x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"98","HD","95","370.84","ALCISTA","ALCISTA","BAJISTA","53.49","26","9641.84","1446.28","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (53.5)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (1.0x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"99","SPCE","95","3.72","ALCISTA","ALCISTA","BAJISTA","55.91","2688","9999.36","1499.9","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (55.9)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"100","ADBE","90","414.03","ALCISTA","ALCISTA","BAJISTA","69.15","24","9936.72","1490.51","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (69.1)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.9x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"101","BIIB","90","126.82","ALCISTA","ALCISTA","BAJISTA","54.88","78","9891.96","1483.79","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (54.9)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.9x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"102","CAT","90","342.51","ALCISTA","ALCISTA","BAJISTA","60.51","29","9932.79","1489.92","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (60.5)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.6x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"103","QCOM","90","151.31","ALCISTA","ALCISTA","BAJISTA","55.76","66","9986.46","1497.97","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (55.8)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (1.1x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"104","TXN","90","185.42","ALCISTA","ALCISTA","BAJISTA","64.26","53","9827.26","1474.09","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (64.3)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (1.2x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"105","ROKU","90","69.56","ALCISTA","ALCISTA","BAJISTA","55.25","143","9947.08","1492.06","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (55.2)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"106","AEM","90","115.63","ALCISTA","ALCISTA","ALCISTA","55.58","86","9944.18","1988.84","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (55.6)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (1.1x promedio)
Stochastic en zona neutral
Momentum negativo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"107","MO","90","59.45","ALCISTA","ALCISTA","ALCISTA","55.6","168","9987.6","1997.52","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (55.6)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.6x promedio)
Stochastic en zona neutral
Momentum negativo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"108","PG","90","165.43","ALCISTA","ALCISTA","BAJISTA","56.53","60","9925.8","1488.87","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (56.5)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo","BAJO","MEDIO"
"109","GLD","90","305.82","ALCISTA","ALCISTA","ALCISTA","55.48","32","9786.24","1957.25","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (55.5)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (1.1x promedio)
Stochastic en zona neutral
Momentum negativo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"110","BIL","90","91.63","ALCISTA","ALCISTA","ALCISTA","100.0","109","9987.67","1498.15","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en sobrecompra (100.0), precaución
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.9x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","MEDIO"
"111","ABEV","80","2.51","BAJISTA","ALCISTA","ALCISTA","57.62","3984","9999.84","1499.98","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (57.6)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista en largo plazo","BAJO","LARGO"
"112","NKE","75","59.98","ALCISTA","BAJISTA","BAJISTA","48.66","166","9956.68","995.67","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (48.7)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (1.0x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","CORTO"
"113","PFE","75","23.04","ALCISTA","BAJISTA","BAJISTA","50.99","434","9999.36","999.94","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (51.0)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","CORTO"
"114","BP","75","28.88","ALCISTA","BAJISTA","BAJISTA","48.74","346","9992.48","999.25","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (48.7)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.6x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","CORTO"
"115","U","75","20.81","BAJISTA","ALCISTA","BAJISTA","47.25","480","9988.8","998.88","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (47.2)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.9x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","MEDIO"
"116","AGRO","75","9.39","ALCISTA","BAJISTA","BAJISTA","46.59","1064","9990.96","999.1","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (46.6)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.5x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","CORTO"
"117","PBR","75","11.91","ALCISTA","BAJISTA","BAJISTA","50.16","839","9992.49","999.25","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (50.2)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","CORTO"
"118","AIG","75","82.63","BAJISTA","BAJISTA","ALCISTA","50.08","121","9998.23","999.82","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (50.1)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.5x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista en largo plazo","MEDIO","LARGO"
"119","WMT","70","96.43","BAJISTA","ALCISTA","ALCISTA","53.16","103","9932.29","1489.84","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (53.2)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum negativo
Tendencia alcista en largo plazo","MEDIO","LARGO"
"120","BABA","70","123.59","BAJISTA","BAJISTA","ALCISTA","49.85","80","9887.2","988.72","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (49.9)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.6x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista en largo plazo","MEDIO","LARGO"
"121","BRFS","70","3.69","BAJISTA","ALCISTA","BAJISTA","53.74","2710","9999.9","999.99","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (53.7)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen moderado (1.5x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","MEDIO"
"122","HMC","70","29.83","BAJISTA","ALCISTA","ALCISTA","52.68","335","9993.05","1498.96","Fuerza de tendencia: 2/3 timeframes alcistas
RSI en zona neutral (52.7)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum negativo
Tendencia alcista en largo plazo","MEDIO","LARGO"
"123","AAPL","65","202.09","BAJISTA","BAJISTA","BAJISTA","45.12","49","9902.41","990.24","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (45.1)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (1.1x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","CORTO"
"124","INTC","65","20.69","BAJISTA","BAJISTA","BAJISTA","47.22","483","9993.27","999.33","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (47.2)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","CORTO"
"125","CVX","65","135.56","BAJISTA","BAJISTA","BAJISTA","41.81","73","9895.88","989.59","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (41.8)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (1.1x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","CORTO"
"126","FDX","65","216.81","BAJISTA","BAJISTA","BAJISTA","45.06","46","9973.26","997.33","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (45.1)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","CORTO"
"127","UPS","65","95.85","BAJISTA","BAJISTA","BAJISTA","45.29","104","9968.4","996.84","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (45.3)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.5x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","CORTO"
"128","AZN","65","69.68","ALCISTA","BAJISTA","BAJISTA","51.01","143","9964.24","996.42","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (51.0)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum negativo","MEDIO","CORTO"
"129","SLB","65","33.87","BAJISTA","BAJISTA","BAJISTA","41.28","295","9991.65","999.16","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (41.3)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","CORTO"
"130","PANW","65","181.26","BAJISTA","ALCISTA","BAJISTA","45.33","55","9969.3","996.93","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (45.3)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen fuerte (3.6x promedio)
Stochastic en zona neutral
Momentum negativo","MEDIO","MEDIO"
"131","SBUX","65","82.98","BAJISTA","BAJISTA","BAJISTA","45.39","120","9957.6","995.76","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (45.4)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum positivo","MEDIO","CORTO"
"132","NU","65","11.99","BAJISTA","ALCISTA","BAJISTA","45.45","834","9999.66","999.97","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (45.5)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen fuerte (1.7x promedio)
Stochastic en zona neutral
Momentum negativo","MEDIO","MEDIO"
"133","BIDU","60","85.48","BAJISTA","BAJISTA","BAJISTA","42.71","116","9915.68","991.57","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (42.7)
MACD por debajo de la señal, momentum bajista
Precio por debajo de la banda inferior de Bollinger, posible rebote
Volumen fuerte (5.0x promedio)
Stochastic en zona neutral
Momentum negativo","MEDIO","CORTO"
"134","CVS","60","62.11","BAJISTA","BAJISTA","ALCISTA","42.1","161","9999.71","999.97","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (42.1)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.4x promedio)
Stochastic en zona neutral
Momentum negativo
Tendencia alcista en largo plazo","MEDIO","LARGO"
